Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
211.0,Lycée,02,49.83634836075381,3.906179585271556
313.0,Lycée,69,45.800999279831466,4.856600440163791
291.0,Lycée,69,45.757067848835405,4.920330351030904
606.0,Lycée,54,48.69510894372223,6.173809508900035
807.0,Lycée,29,48.382873469547825,-4.502419691302942
200.0,Lycée,69,45.76253771257576,4.9035097643596135
381.0,Lycée,13,43.28725007804286,5.549138786733128
994.0,Lycée,14,49.198411250788965,-0.36632994857611106
347.0,Lycée,95,48.994913882426346,2.4099505671928307
652.0,Lycée,08,49.77297015403991,4.729619402638149
1562.0,Lycée,51,49.251152445191394,4.027709929823115
655.0,Lycée,51,49.22831497165282,4.007399965591215
646.0,Lycée,75,48.86135306656226,2.364030517249458
267.0,Lycée,63,45.89270888523539,3.10832972256231
881.0,Lycée,77,48.87961610858394,2.6122798173260358
1255.0,Lycée,93,48.953443026678656,2.370310625818575
844.0,Lycée,70,47.63005421284403,6.14118040449958
374.0,Lycée,10,48.292715469765284,4.027480098463644
1213.0,Lycée,10,48.27352045127058,4.07517969527786
314.0,Lycée,74,45.88479403769194,6.330090223869793
123.0,Lycée,03,46.56648012042358,3.3357393730290905
1532.0,Lycée,33,44.9058116766079,-0.7141948044405471
191.0,Lycée,40,43.69709542037719,-0.26904046228808925
391.0,Lycée,85,46.49623521423002,-1.7692421784861836
373.0,Lycée,85,46.68473813987129,-1.0491497633771334
69.0,Lycée,08,49.39746078717486,4.697999833201346
299.0,Lycée,81,43.94364260363307,2.1477299099085565
226.0,Lycée,75,48.84247712478351,2.4128796079100647
280.0,Lycée,62,50.75402602776089,2.2559104276682307
2087.0,Lycée,77,48.82410472109411,3.092479537154869
1376.0,Lycée,69,45.75308603802279,4.791799503028347
226.0,Lycée,37,47.12633680057775,0.983559390981933
391.0,Lycée,28,48.73776535916131,1.3747893910910558
1062.0,Lycée,94,48.7303501343141,2.457270013543819
489.0,Lycée,94,48.83002087130424,2.4654097015651564
724.0,Lycée,78,48.78123367120676,1.9845197501714091
464.0,Lycée,59,50.61713045478125,3.066300687077592
2178.0,Lycée,13,43.53410711883361,5.459120003032945
878.0,Lycée,13,43.26115753776659,5.387322425357512
465.0,Lycée,13,43.28869075639178,5.365229744613455
51.0,Lycée,54,48.663492879019024,6.241140662162637
316.0,Lycée,93,48.84626237621026,2.548090349254971
384.0,Lycée,14,49.19260720875303,-0.3511693653671061
158.0,Lycée,74,46.14335682193716,6.458929400975766
406.0,Lycée,33,45.12505826591138,-0.6611574304969666
1132.0,Lycée,06,43.651222670056335,6.921730428601612
810.0,Lycée,93,48.882909690777495,2.420819521807999
375.0,Lycée,59,50.37622496360461,3.069450462158048
724.0,Lycée,26,45.19419133466614,4.815877923811152
1883.0,Lycée,45,47.91115900645534,1.910839898558388
969.0,Lycée,28,48.072528355898825,1.334180513777827
540.0,Lycée,93,48.95623976755975,2.533150335615636
1010.0,Lycée,93,48.903334641874764,2.333270205609169
65.0,Lycée,02,49.83641348236866,3.9060001565254807
572.0,Lycée,44,47.331409840034866,-2.420509555839649
1196.0,Lycée,72,48.003239894045365,0.19974004019796865
551.0,Lycée,76,49.473689732873055,1.046490173533983
748.0,Lycée,76,49.41451669399432,1.1471100317732226
153.0,Lycée,01,46.12551422242611,4.95989039950852
304.0,Lycée,42,45.42792310010476,4.387770379164774
484.0,Lycée,25,47.24534711534769,6.036720590873194
379.0,Lycée,25,47.26076541960632,5.996840074908477
365.0,Lycée,33,44.655378824869544,-1.15258186496156
252.0,Lycée,30,43.81222098212882,4.640800014891885
439.0,Lycée,93,48.90081866513168,2.5198498182221547
1249.0,Lycée,91,48.61641238482198,2.3891295027738684
1334.0,Lycée,27,49.35086900778224,0.5216132608560221
441.0,Lycée,75,48.861566956992256,2.2788294851212214
469.0,Lycée,67,48.409116454770725,7.457800082425168
260.0,Lycée,67,48.462460857258165,7.490260071791698
457.0,Lycée,37,47.39025945012596,0.6763564087572175
1542.0,Lycée,78,48.80106442786684,2.137439326016222
1020.0,Lycée,70,47.63310676539953,6.163080383958999
861.0,Lycée,85,46.68667677866142,-1.053430521786367
375.0,Lycée,24,45.53326481488426,0.6657752913940638
403.0,Lycée,71,46.45249284767697,4.123440141457926
129.0,Lycée,38,45.20574596465186,5.748965995220653
257.0,Lycée,78,48.839607800844355,2.1325095196581283
458.0,Lycée,78,48.809693894084646,2.1498096256085404
545.0,Lycée,92,48.780747638009736,2.316710019351805
1544.0,Lycée,92,48.89038795915359,2.2073705386982194
